ds,y
1960-12-12,2.359.468.833
1961-01-12,2.324.805.462
1962-01-12,2.513.483.174
1963-12-12,2.956.319.708
1964-12-12,2.586.053.707
1965-12-12,26.945.629
1966-12-12,3.300.405.859
1967-12-12,3.531.107.106
1968-12-12,3.753.905.735
1969-12-12,4.007.870.694
1970-12-12,4.450.237.808
1971-12-12,5.013.168.142
1972-12-12,585.171.405
1973-12-12,8.174.524.452
1974-12-12,1.048.596.235
1975-12-12,1.205.074.834
1976-12-12,1.395.096.399
1977-12-12,1.568.543.354
1978-12-12,1.739.720.566
1979-12-12,1.877.682.272
1980-12-12,1.966.903.626
1981-12-12,2.088.002.687
1982-12-12,2.144.804.053
1983-12-12,1.465.108.092
1984-12-12,1.422.683.914
1985-12-12,1.301.976.812
1986-12-12,1.563.104.249
1987-12-12,168.582.069
1988-12-12,1.801.995.555
1989-12-12,2.371.572.196
1990-12-12,2.622.262.881
1991-12-12,2.259.239.894
1992-12-12,212.750.719
1993-12-12,2.348.090.047
1994-12-12,3.295.244.924
1995-12-12,4.748.388.208
1996-12-12,5.166.163.933
1997-12-12,528.204.947
1998-12-12,5.087.079.072
1999-12-12,3.479.843.833
2000-12-12,3.749.910.848
2001-12-12,3.160.249.345
2002-12-12,2.839.491.501
2003-12-12,3.070.436.419
2004-12-12,363.731.389
2005-12-12,4.790.456.566
2006-12-12,5.886.391.522
2007-12-12,7.348.187.963
2008-12-12,8.831.183.643
2009-12-12,8.597.794.335
2010-12-12,1.128.607.154
2011-12-12,1.324.538.737
2012-12-12,1.237.022.325
2013-12-12,1.230.038.671
2014-12-12,1.211.283.496
2015-12-12,8.813.989.806
2016-12-12,871.006.329
2017-12-12,9.928.675.897
2018-12-12,9.151.381.732
2019-12-12,8.876.059.836
2020-12-12,6.814.875.632
2021-12-12,7.518.834.284
