,ds,y
0,1960-12-12,2.359.468.833
1,1961-01-12,2.324.805.462
2,1962-01-12,2.513.483.174
3,1963-12-12,2.956.319.708
4,1964-12-12,2.586.053.707
5,1965-12-12,26.945.629
6,1966-12-12,3.300.405.859
7,1967-12-12,3.531.107.106
8,1968-12-12,3.753.905.735
9,1969-12-12,4.007.870.694
10,1970-12-12,4.450.237.808
11,1971-12-12,5.013.168.142
12,1972-12-12,585.171.405
13,1973-12-12,8.174.524.452
14,1974-12-12,1.048.596.235
15,1975-12-12,1.205.074.834
16,1976-12-12,1.395.096.399
17,1977-12-12,1.568.543.354
18,1978-12-12,1.739.720.566
19,1979-12-12,1.877.682.272
20,1980-12-12,1.966.903.626
21,1981-12-12,2.088.002.687
22,1982-12-12,2.144.804.053
23,1983-12-12,1.465.108.092
24,1984-12-12,1.422.683.914
25,1985-12-12,1.301.976.812
26,1986-12-12,1.563.104.249
27,1987-12-12,168.582.069
28,1988-12-12,1.801.995.555
29,1989-12-12,2.371.572.196
30,1990-12-12,2.622.262.881
31,1991-12-12,2.259.239.894
32,1992-12-12,212.750.719
33,1993-12-12,2.348.090.047
34,1994-12-12,3.295.244.924
35,1995-12-12,4.748.388.208
36,1996-12-12,5.166.163.933
37,1997-12-12,528.204.947
38,1998-12-12,5.087.079.072
39,1999-12-12,3.479.843.833
40,2000-12-12,3.749.910.848
41,2001-12-12,3.160.249.345
42,2002-12-12,2.839.491.501
43,2003-12-12,3.070.436.419
44,2004-12-12,363.731.389
45,2005-12-12,4.790.456.566
46,2006-12-12,5.886.391.522
47,2007-12-12,7.348.187.963
48,2008-12-12,8.831.183.643
49,2009-12-12,8.597.794.335
50,2010-12-12,1.128.607.154
51,2011-12-12,1.324.538.737
52,2012-12-12,1.237.022.325
53,2013-12-12,1.230.038.671
54,2014-12-12,1.211.283.496
55,2015-12-12,8.813.989.806
56,2016-12-12,871.006.329
57,2017-12-12,9.928.675.897
58,2018-12-12,9.151.381.732
59,2019-12-12,8.876.059.836
60,2020-12-12,6.814.875.632
61,2021-12-12,7.518.834.284
