ds,y
1960-12-12,2359
1961-01-12,2325
1962-01-12,2513
1963-12-12,2956
1964-12-12,2586
1965-12-12,2694
1966-12-12,3300
1967-12-12,3531
1968-12-12,3753
1969-12-12,4000
1970-12-12,4450
1971-12-12,5013
1972-12-12,5852
1973-12-12,8175
1974-12-12,1049
1975-12-12,1205
1976-12-12,1395
1977-12-12,1569
1978-12-12,1740
1979-12-12,1878
1980-12-12,1967
1981-12-12,2089
1982-12-12,2145
1983-12-12,1466
1984-12-12,1423
1985-12-12,1302
1986-12-12,1564
1987-12-12,1686
1988-12-12,1802
1989-12-12,2372
1990-12-12,2623
1991-12-12,2260
1992-12-12,2128
1993-12-12,2349
1994-12-12,3295
1995-12-12,4748
1996-12-12,5166
1997-12-12,5282
1998-12-12,5087
1999-12-12,3479
2000-12-12,3750
2001-12-12,3160
2002-12-12,2839
2003-12-12,3070
2004-12-12,3637
2005-12-12,4790
2006-12-12,5886
2007-12-12,7348
2008-12-12,8831
2009-12-12,8598
2010-12-12,11286
2011-12-12,13245
2012-12-12,12370
2013-12-12,12300
2014-12-12,12112
2015-12-12,8814
2016-12-12,8710
2017-12-12,9929
2018-12-12,9151
2019-12-12,8876
2020-12-12,6815
2021-12-12,7519
